차량번호,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,제시번호,차량모델,제조사,가격
89주0961,16년12월(17년형),"136,172",디젤,오토,정보없음,승합,0,흰색,정보없음,없음,1 건,2021050782,그랜드스타렉스3인승 밴 스마트,현대,"1,270만원"
59모5451,07년05월(07년형),"116,028",LPG,오토,정보없음,RV,0,은색,정보없음,없음,없음,2021021065,뉴카렌스2.0 LPI GLX 최고급형,기아,390만원
23보9654,10년06월(11년형),"134,776",가솔린,오토,정보없음,중형,"1,998",보라색,없음,없음,없음,202012254,K5가솔린 2.0 프레스티지,기아,590만원
313도9538,17년09월(18년형),"50,665",디젤,오토,정보없음,RV,"2,199",회색,없음,없음,없음,2.02E+11,올 뉴 카니발9인승 2.2 디젤 프레스티지,기아,"2,330만원"
02수0807,16년05월(16년형),"150,279",디젤,오토,11.6,SUV,"2,199",회색,없음,없음,없음,20210320,싼타페 더 프라임디젤 R2.2 4WD 5인승 익스클루시브 기본,현대,"1,600만원"
03마2500,17년08월(18년형),"49,000",디젤,오토,10.1,SUV,0,검정색,정보없음,없음,1 건,2021023823,G4 렉스턴2.2 4WD 헤리티지,쌍용,"2,650만원"
53구7993,09년10월(10년형),"102,119",가솔린,오토,정보없음,경차,995,초록색,없음,없음,없음,1111,마티즈 CREATIVEGROOVE 스타,한국GM,330만원
02주0429,15년11월(16년형),"51,155",가솔린,오토,12.6,중형,0,흰색,정보없음,없음,1 건,정보없음,LF쏘나타2.0 스타일 스페셜,현대,"1,420만원"
324너1982,17년04월(18년형),"132,909",LPG,오토,7.6,중형,"2,999",검정색,없음,없음,없음,82,그랜저IG3.0 LPi 모던 ,현대,"1,750만원"
151다9096,20년09월(21년형),"23,453",가솔린,오토,정보없음,SUV,"1,341",갈색,없음,없음,없음,20211052675,트레일블레이저1.3 가솔린 2WD Premier,한국GM,"1,999만원"
69오4755,09년12월(10년형),"33,081",가솔린,오토,정보없음,중형,"1,998",회색,없음,없음,없음,20201062913,YF쏘나타Y20 프리미어 최고급형,현대,589만원
34구0524,16년04월(16년형),"107,813",가솔린,오토,정보없음,대형,"2,359",그래비티블루,없음,없음,없음,82,올 뉴 K72.4 GDI 프레스티지 ,기아,"1,680만원"
15오0629,16년07월(17년형),"94,573",가솔린,오토,8.9,대형,"3,342",회색,없음,없음,없음,20211146528,G80(DH)3.3 GDI AWD 프리미엄 럭셔리,제네시스,"2,970만원"
380라5361,18년08월(18년형),"117,093",하이브리드(가솔린),오토,16.2,대형,"2,359",그래비티블루,없음,없음,없음,82,올 뉴 K7 하이브리드노블레스 기본형,기아,"2,290만원"
123머2435,18년09월(19년형),"138,787",하이브리드(가솔린),오토,정보없음,대형,"2,359",회색,없음,없음,없음,1421007567,그랜저IG 하이브리드익스클루시브 스페셜,현대,"2,050만원"
07보6434,18년01월(18년형),"98,737",가솔린,오토,10,대형,"2,999",회색,없음,없음,없음,82,올 뉴 K73.0 GDi 리미티드 ,기아,"2,320만원"
271보7646,19년08월(19년형),"65,040",하이브리드(가솔린),오토,정보없음,대형,"2,359",회색,없음,없음,없음,6752105606,그랜저IG 하이브리드익스클루시브 스페셜,현대,"2,720만원"
129부2082,16년05월(16년형),"73,564",디젤,오토,11.2,RV,"2,199",검정색,없음,없음,없음,82,올 뉴 카니발7인승 2.2 디젤 리무진 프레지던트,기아,"2,430만원"
69구0802,16년03월(17년형),"91,279",가솔린,오토,11.8,준중형,"1,591",회색,없음,없음,없음,20211160178,더 뉴 벨로스터1.6 터보 디 스펙 DCT,현대,"1,600만원"
116오2210,18년03월(18년형),"72,617",가솔린,오토,10.1,대형,"2,999",회색,없음,없음,없음,82,그랜저IG3.0 익스클루시브 기본형,현대,"2,370만원"
36서0773,16년02월(16년형),"44,283",가솔린,오토,15.4,경차,999,진주색,없음,없음,없음,20211106895,더 넥스트 스파크ECO LTZ ,한국GM,760만원
111라5568,17년02월(17년형),"116,607",가솔린,오토,9.9,대형,"2,999",검정색,없음,없음,없음,82,그랜저IG3.0 익스클루시브 스페셜,현대,"2,190만원"
74수1870,18년10월(19년형),"19,001",디젤,오토,정보없음,승합,"2,497",노랑색,없음,없음,없음,20201275782,더 뉴 그랜드 스타렉스어린이버스 15인승 ,현대,"2,409만원"
37어6886,17년09월(18년형),"72,106",가솔린,오토,12,준중형,"1,591",흰색,없음,없음,없음,2021095847,아반떼AD1.6 T-GDi 스포츠 익스트림 셀렉션 ,현대,"1,690만원"
49로6478,13년06월(13년형),"81,603",가솔린,오토,11.6,중형,"1,998",회색,없음,없음,없음,18,쉐보레 말리부2.0 LT 디럭스팩,한국GM,680만원
80나9884,15년06월(15년형),"59,431",디젤,오토,정보없음,트럭,0,흰색,정보없음,없음,1 건,2021051923,코란도 스포츠CX7 4WD 패션,쌍용,"1,530만원"
29무7037,03년01월(03년형),"95,172",가솔린,오토,정보없음,대형,"2,500",검정색,없음,없음,없음,20201108961,뉴그랜저XGR25 고급형,현대,270만원
278구8690,16년12월(17년형),"31,671",가솔린,오토,8.3,RV,"3,342",진주색,없음,없음,없음,201297358,올 뉴 카니발7인승 3.3 가솔린 하이리무진 프레지던트,기아,"3,450만원"
08소4023,06년08월(07년형),"178,193",LPG,오토,정보없음,중형,"1,998",흰색,없음,없음,없음,14190111103,NF쏘나타N20 LPG 럭셔리 고급형,현대,180만원
48모5728,13년08월(13년형),"133,670",가솔린,오토,9.4,대형,0,흰색,정보없음,없음,없음,2020117565,All New SM7LE35 ,르노삼성,580만원
29고2854,12년01월(12년형),"93,197",가솔린,오토,정보없음,대형,"3,598",검정색,없음,없음,없음,2021010024,뉴체어맨WCW700 4인승 리무진,쌍용,"1,550만원"
60서4582,09년04월(09년형),"166,258",가솔린,오토,정보없음,대형,"3,778",은색,없음,없음,없음,2021018012,제네시스BH380 ROYAL 기본형,현대,500만원
20마9045,14년06월(15년형),"115,870",가솔린,CVT,15,준중형,"1,598",은색,없음,없음,없음,2.02E+11,SM3 네오SE 기본형,르노삼성,530만원
21마0449,13년07월(13년형),"162,782",LPG,CVT,정보없음,중형,"1,998",흰색,없음,없음,없음,3001009152,뉴SM5 플래티넘LPLi 택시렌터카 최고급형 ,르노삼성,470만원
36더6299,05년02월(05년형),"180,090",가솔린,오토,정보없음,대형,"2,349",검정색,없음,없음,없음,3001000088,SM7LE 기본형,르노삼성,180만원
43로2028,14년11월(15년형),"96,318",디젤,오토,11.5,RV,"2,199",회색,없음,없음,없음,644562342,올 뉴 카니발9인승 2.2 디젤 노블레스,기아,"1,799만원"
29머0732,16년07월(16년형),"123,450",디젤,오토,12.9,SUV,"1,995",진주색,없음,없음,없음,3001009404,올 뉴쏘렌토디젤 2.0 2WD 노블레스,기아,"1,730만원"
50부7728,14년01월(14년형),"217,068",가솔린,오토,15,준중형,"1,598",검정색,없음,없음,없음,20211040828,뉴SM3SE ,르노삼성,210만원
26무2369,14년11월(15년형),"97,684",디젤,오토,14,대형,"2,199",회색,없음,없음,없음,20211110916,그랜저HGHG220 디젤 모던,현대,"1,200만원"
10오4016,15년01월(15년형),"63,159",디젤,오토,13.5,RV,"1,998",흰색,없음,없음,없음,202104003,쉐보레 올란도플레티넘패키지 ,한국GM,"1,140만원"
345로6710,16년10월(17년형),"111,269",가솔린,오토,정보없음,대형,"2,359",검정색,없음,없음,1 건,2021063994,그랜저HGHG240 모던,현대,"1,340만원"
359수3188,16년03월(16년형),"138,500",디젤,오토,13.8,대형,"2,199",검정,없음,없음,1 건,2021071895,그랜저HGHG220 디젤 프리미엄,현대,"1,430만원"
53너8643,11년04월(11년형),"134,235",가솔린,오토,정보없음,대형,"2,799",검정색,없음,없음,없음,2019011451,체어맨H500S 최고급형,쌍용,329만원
33라1977,18년11월(19년형),"54,525",디젤,오토,13.3,SUV,"1,597",청색,없음,없음,없음,202104008,티볼리 에어2WD RX ,쌍용,"1,630만원"
05주2434,17년01월(17년형),"72,782",디젤,오토,12.5,SUV,"2,199",초록색,없음,없음,없음,2021013311,더 뉴 맥스크루즈디젤(e-VGT)R2.2 2WD 파이니스트 에디션 6인승 ,현대,"2,630만원"
346노3429,17년08월(18년형),"63,463",가솔린,오토,9.9,대형,"2,999",검정색,없음,없음,없음,20211142505,그랜저IG3.0 익스클루시브 스페셜,현대,"2,270만원"
145루6752,18년02월(18년형),"45,017",가솔린,오토,8.9,대형,"3,342",검정색,없음,없음,없음,20211142490,G80(DH)3.3 GDI 프리미엄 럭셔리,제네시스,"3,540만원"
12버2021,08년03월(08년형),"219,300",가솔린,오토,정보없음,SUV,"3,778",회색,없음,없음,없음,1041001295,베라크루즈가솔린 4WD 300VXL 프리미엄,현대,890만원
27마8502,13년05월(13년형),"127,968",디젤,오토,13.4,SUV,0,흰색,정보없음,없음,없음,2021017177,스포티지 R2WD 디젤 TLX 최고급형,기아,950만원
27보3974,14년10월(14년형),"32,217",가솔린,오토,16.8,경차,0,흰색,정보없음,없음,없음,2021017768,쉐보레 스파크LT 기본형,한국GM,570만원
06나4407,06년03월(06년형),"171,214",LPG,오토,정보없음,대형,"2,656",은색,없음,없음,없음,2021036020,그랜저TGLPI Q270 장애인용,현대,280만원
342서6698,18년03월(18년형),"80,276",가솔린,오토,11,대형,"2,359",검정색,없음,없음,없음,20211154188,그랜저IG2.4 프리미엄 스페셜,현대,"2,090만원"
259오7817,17년03월(17년형),"47,155",디젤,오토,15,SUV,"1,685",체리흑색,없음,없음,없음,6733103063,스포티지 4세대디젤 1.7 2WD 트렌디 ,기아,"1,650만원"
68버7723,11년11월(12년형),"77,498",가솔린,수동,정보없음,경차,998,갈대색,없음,없음,없음,1111,쉐보레 스파크LT 기본형,한국GM,350만원
48도1862,18년08월(18년형),"27,957",가솔린,오토,정보없음,경차,0,흰색,정보없음,없음,1 건,211156053,올 뉴 모닝(JA)럭셔리 ,기아,950만원
57부1845,09년05월(09년형),"209,116",가솔린,오토,정보없음,대형,"3,778",검정색,없음,없음,없음,20201287032,제네시스BH380 ROYAL VIP팩,현대,670만원
09무0381,16년05월(16년형),"60,083",가솔린,오토,15.2,경차,999,회색,없음,없음,없음,20201275755,더 넥스트 스파크LT Plus ,한국GM,599만원
145가7407,18년09월(19년형),"73,849",디젤,오토,11.4,RV,"2,199",흰색,없음,없음,없음,20211052991,더 뉴 카니발9인승 2.2 디젤 럭셔리,기아,"1,970만원"
389오6262,19년12월(19년형),"24,223",하이브리드(가솔린),오토,정보없음,대형,"2,359",검정색,없음,없음,없음,2121003358,그랜저IG 하이브리드익스클루시브 스페셜,현대,"3,180만원"
23부5022,18년04월(18년형),"97,049",하이브리드(가솔린),오토,16.2,대형,"2,359",검정색,없음,없음,없음,5400002935,그랜저IG 하이브리드익스클루시브 스페셜,현대,"2,530만원"
255수9635,21년01월(21년형),"7,177",하이브리드(가솔린),오토,정보없음,중형,"1,999",회색,없음,없음,없음,2221015411,K5 하이브리드 3세대2.0 HEV 노블레스,기아,"2,990만원"
64가0326,15년09월(16년형),"30,727",가솔린,오토,15.2,경차,999,빨강색,없음,없음,없음,20211098526,더 넥스트 스파크LT Plus ,한국GM,710만원
167구1528,18년03월(18년형),"90,000",가솔린,오토,10.1,대형,"2,999",검정,없음,없음,없음,2021092030,그랜저IG3.0 익스클루시브 기본형,현대,"2,120만원"
12오5051,14년06월(15년형),"138,168",디젤,오토,정보없음,SUV,"1,995",흰색,없음,없음,없음,20211045736,싼타페 DMR2.0 4WD PREMIUM ,현대,"1,429만원"
